datetime,open,high,low,close,volume
2025-04-01,39.31,40.72,38.73,40.49,2514100
2025-03-31,38.25,39.94,37.43,39.75,3283700
2025-03-28,41.21,41.21,39.12,39.34,2546400
2025-03-27,41.47,41.66,40.775,41.25,2552100
2025-03-26,41.23,41.965,40.88,41.53,2266300
2025-03-25,41.56,42.1,41.18,41.28,1924500
2025-03-24,40.89,41.49,40.375,41.42,2579700
2025-03-21,39.08,40.31,38.36,40.1,6625800
2025-03-20,39.6,40.55,39.5,39.97,3128900
2025-03-19,39.2,40.55,39.1,40.09,4446700
2025-03-18,41.09,41.2,38.78,38.99,9198700
2025-03-17,41.211,42.33,40.49,42.07,2766500
2025-03-14,39.8,40.5,39.56,40.41,3061600
2025-03-13,40.16,40.833,39.1,39.2,3012700
2025-03-12,42.11,42.3,39.99,40.51,3920600
2025-03-11,40.95,41.19,38.16,40.15,7419300
2025-03-10,42.6,43.19,41.49,42.74,5848000
2025-03-07,44.59,45.325,42.61,43.61,4961500
2025-03-06,46.59,47.04,44.75,45.05,4167400
2025-03-05,46.81,49.58,46.43,47.85,1833500
2025-03-04,46.47,47.19,45.12,46.34,3767800
2025-03-03,48.43,48.88,46.98,47.47,1500500
2025-02-28,47.03,48.328,46.4,48.1,2147000
2025-02-27,49.32,49.95,46.9,47.12,2982700
2025-02-26,48.53,49.83,48.28,49.11,1522400
2025-02-25,49.1,49.46,47.44,48.15,2128400
2025-02-24,48.63,49.7,47.845,49.06,2745400
2025-02-21,50.15,50.64,47.49,48.04,4554500
2025-02-20,51.06,51.63,47.35,49.83,6208700
2025-02-19,51.32,51.806,50.85,51.4,1572200
2025-02-18,51.81,52.01,51.141,51.85,1896600
2025-02-14,52.0,52.195,51.06,51.47,3233700
2025-02-13,52.2,52.75,51.16,52.36,1828000
2025-02-12,50.43,51.84,50.14,51.61,1527700
2025-02-11,51.46,51.665,50.07,50.87,2752800
2025-02-10,52.99,53.14,51.41,51.73,4609700
2025-02-07,53.08,53.14,52.41,52.77,3872000
2025-02-06,52.37,53.055,51.75,52.84,1761200
2025-02-05,51.92,52.11,50.8,52.06,2558800
2025-02-04,50.96,51.51,50.3,51.45,1565600
2025-02-03,49.17,50.73,48.87,50.12,2778400
2025-01-31,51.75,51.99,50.2,50.63,3021500
2025-01-30,50.37,51.83,50.085,51.69,3572200
2025-01-29,49.08,50.31,48.43,50.27,7401600
2025-01-28,46.75,49.12,45.68,49.06,8888200
2025-01-27,47.74,49.395,47.54,48.75,3233800
2025-01-24,48.74,49.42,48.43,49.01,3455800
2025-01-23,47.81,48.75,47.13,48.69,2383700
2025-01-22,48.11,48.527,46.7,47.81,2928800
2025-01-21,48.48,49.91,48.11,48.49,2667300
2025-01-17,46.37,48.39,46.155,47.71,3900200
2025-01-16,44.63,45.53,44.54,45.14,2147400
2025-01-15,44.32,44.91,43.82,44.49,3999300
2025-01-14,43.85,44.1,43.163,43.41,1943300
2025-01-13,43.12,43.255,42.12,43.14,1076400
2025-01-10,42.77,44.19,42.67,43.69,2109900
2025-01-08,42.46,43.05,42.2,43.05,2559100
2025-01-07,43.37,43.59,42.12,42.61,1826700
2025-01-06,43.13,43.55,42.742,43.34,2380400
2025-01-03,43.54,44.1,42.011,42.82,3065900
2025-01-02,44.68,44.8,43.36,43.81,1457600
2024-12-31,44.01,44.83,43.94,44.06,2662400
2024-12-30,43.32,44.26,43.0,44.01,2385300
2024-12-27,45.32,45.58,44.14,44.41,2468300
2024-12-26,45.43,46.31,45.4,45.65,1749600
2024-12-24,45.63,46.135,45.38,45.67,506500
2024-12-23,46.23,46.38,45.01,45.5,1743000
2024-12-20,44.05,46.53,43.535,46.23,4910600
2024-12-19,44.31,44.38,43.16,43.69,2283500
2024-12-18,45.68,46.025,42.97,43.38,2323300
2024-12-17,45.9,46.15,44.9,45.85,1532500
2024-12-16,45.74,46.65,45.24,46.15,1370100
2024-12-13,45.93,46.71,45.49,45.49,1310500
2024-12-12,45.89,46.7,45.83,46.18,1555500
2024-12-11,44.59,46.07,44.48,46.04,1738600
2024-12-10,45.09,45.56,44.32,44.59,1690900
2024-12-09,46.23,46.47,44.76,44.87,2842800
2024-12-06,46.15,47.0,46.09,46.52,2328600
2024-12-05,46.41,46.7,45.9,46.11,2878000
2024-12-04,45.87,46.5,45.805,46.32,2249300
2024-12-03,46.25,46.29,44.93,45.66,3550200
2024-12-02,46.38,46.861,45.92,46.23,3316600
2024-11-29,46.88,47.2,46.28,46.45,945200
2024-11-27,47.1,47.625,46.45,46.45,1328300
2024-11-26,45.97,47.52,45.82,47.22,2401200
2024-11-25,45.71,46.02,45.06,45.78,4210700
2024-11-22,44.2,46.41,44.11,45.34,8236100
2024-11-21,44.3,45.107,43.72,44.91,1849100
2024-11-20,45.2,45.2,43.17,44.37,3126200
2024-11-19,43.53,45.64,41.13,45.09,3759600
2024-11-18,45.69,45.86,44.939,45.39,3178900
2024-11-15,45.54,45.85,44.8,45.34,1912000
2024-11-14,45.57,46.25,45.4,45.79,1749000
2024-11-13,45.85,46.14,45.27,45.57,1656600
2024-11-12,45.55,45.957,45.0,45.85,2819700
2024-11-11,44.42,45.11,43.55,44.44,1839000
2024-11-08,43.36,43.7,43.06,43.62,1253900
2024-11-07,43.17,43.8,42.785,43.22,1550500
2024-11-06,41.89,43.8,41.66,43.23,1738300
2024-11-05,40.21,41.43,40.185,41.26,2113600
2024-11-04,39.8,40.09,38.85,39.97,1373600
2024-11-01,39.24,39.87,38.9,39.64,1613000
2024-10-31,39.25,39.535,38.81,39.25,2028100
2024-10-30,39.45,39.69,39.05,39.13,1411100
2024-10-29,38.66,39.7,38.46,39.69,1678500
2024-10-28,38.69,38.895,36.771,38.72,3657100
2024-10-25,38.97,39.1,38.68,38.75,1113500
2024-10-24,39.0,39.31,38.57,38.8,1846000
2024-10-23,39.4,39.625,38.09,38.51,1931000
2024-10-22,38.55,39.66,38.22,39.6,1203700
2024-10-21,39.04,39.11,37.96,38.55,1229000
2024-10-18,39.48,39.6,38.684,38.97,937000
2024-10-17,39.0,39.7,38.75,39.39,1260000
2024-10-16,38.75,39.45,38.59,39.0,1318100
2024-10-15,38.29,38.59,37.22,38.5,2422400
2024-10-14,38.16,38.185,37.69,37.79,892900
2024-10-11,37.66,38.55,37.5,38.1,1109100
2024-10-10,37.6,38.682,37.14,37.84,2274600
2024-10-09,36.9,38.4,36.77,37.87,2610500
2024-10-08,36.93,37.222,36.514,36.9,1133000
2024-10-07,37.1,37.63,36.44,36.87,3227400
2024-10-04,36.07,37.25,35.86,37.03,2439000
2024-10-03,34.87,36.24,34.64,35.53,3427300
2024-10-02,34.24,35.04,34.07,35.04,2495100
2024-10-01,34.98,35.015,33.86,34.5,3940900
2024-09-30,34.9,35.1,34.41,34.89,2037400
2024-09-27,34.86,35.15,34.51,34.95,2261300
2024-09-26,34.94,35.04,34.31,34.77,2763900
2024-09-25,34.94,34.952,34.055,34.29,2949000
2024-09-24,34.21,35.08,34.05,34.79,1628200
2024-09-23,34.71,34.752,34.03,34.1,752300
2024-09-20,34.0,34.54,33.86,34.43,1516100
2024-09-19,34.13,34.36,33.78,33.91,1386700
2024-09-18,32.94,33.94,32.82,33.57,2361700
2024-09-17,32.98,33.33,32.465,32.84,1613600
2024-09-16,32.6,32.93,32.199,32.77,2102100
2024-09-13,32.53,33.2,32.25,32.68,3574400
2024-09-12,31.825,33.05,31.76,32.4,11102300
2024-09-11,31.48,32.15,30.84,31.58,2827700
2024-09-10,31.32,31.94,30.75,31.28,2039600
2024-09-09,32.41,32.98,32.05,32.44,1546000
2024-09-06,32.84,33.31,32.21,32.39,1130400
2024-09-05,33.0,33.81,32.88,33.19,791800
2024-09-04,32.66,33.12,32.52,33.03,515600
2024-09-03,33.3,33.86,32.52,32.75,1065600
2024-08-30,33.93,33.965,33.15,33.55,1834800
2024-08-29,33.78,34.0,33.35,33.65,1275600
2024-08-28,35.31,35.69,33.64,33.71,1092000
2024-08-27,35.62,35.865,35.047,35.38,863800
2024-08-26,35.67,36.0,34.71,35.74,1157600
2024-08-23,33.83,35.83,33.83,35.63,1774000
2024-08-22,34.7,35.45,33.05,33.22,4042900
2024-08-21,36.07,36.59,35.61,36.44,1909200
2024-08-20,35.72,36.9,35.37,35.93,2220300
2024-08-19,35.24,35.65,34.94,35.5,934000
2024-08-16,35.52,35.6,34.92,35.14,1033400
2024-08-15,34.46,35.89,34.39,35.63,1255700
2024-08-14,33.42,34.39,33.25,34.21,765300
2024-08-13,33.16,33.56,32.67,33.38,774900
2024-08-12,33.36,34.09,33.1,33.26,587100
2024-08-09,33.13,34.1,32.74,33.51,1007500
2024-08-08,32.55,33.59,31.97,33.03,998100
2024-08-07,33.63,33.81,32.02,32.46,1478300
2024-08-06,32.33,33.94,32.27,33.24,1181800
2024-08-05,31.36,32.32,30.56,32.13,1627000
2024-08-02,34.04,34.185,32.72,32.93,2365400
2024-08-01,35.75,36.43,34.08,35.0,1722600
2024-07-31,35.79,36.57,35.45,35.7,1084800
2024-07-30,35.45,35.86,35.185,35.52,603000
2024-07-29,35.23,35.62,34.88,35.35,611400
2024-07-26,34.87,35.33,34.35,35.19,715500
2024-07-25,34.56,35.23,33.86,34.18,1327800
2024-07-24,36.72,36.725,34.18,34.54,1637500
2024-07-23,36.29,37.07,36.075,36.75,498500
2024-07-22,37.05,37.25,35.94,36.33,808400
2024-07-19,35.89,37.16,35.68,37.0,1635200
2024-07-18,35.37,36.34,35.1,35.85,1546300
2024-07-17,36.61,36.82,35.04,35.13,1246200
2024-07-16,35.75,36.89,35.535,36.65,1252900
2024-07-15,35.07,35.71,34.59,35.68,532100
2024-07-12,34.59,35.34,34.42,34.96,779600
2024-07-11,33.69,34.42,33.41,34.41,1135500
2024-07-10,34.54,34.66,33.45,33.63,1211400
2024-07-09,34.17,35.3,34.055,34.34,1618800
