datetime,open,high,low,close,volume
2025-04-01,8.3,8.91,8.01,8.54,1559000
2025-03-31,8.4,8.457,8.1,8.29,2666600
2025-03-28,9.7,9.73,8.76,8.81,2459300
2025-03-27,10.69,10.94,9.83,9.86,1594100
2025-03-26,11.76,11.785,10.94,11.05,1250900
2025-03-25,11.56,12.18,11.21,11.76,1518200
2025-03-24,11.78,11.9,11.16,11.53,1963700
2025-03-21,11.3,11.604,11.16,11.47,1284200
2025-03-20,11.28,11.65,11.14,11.29,936700
2025-03-19,11.18,11.81,10.98,11.42,1694200
2025-03-18,11.29,11.48,10.73,10.95,1797400
2025-03-17,11.16,11.46,10.57,10.98,1789800
2025-03-14,9.73,10.648,9.72,10.6,1505900
2025-03-13,9.74,10.185,9.22,9.38,2281400
2025-03-12,10.51,11.05,9.526,9.94,2845900
2025-03-11,9.55,10.93,9.44,10.31,3596800
2025-03-10,11.5,11.6,10.75,11.26,2581200
2025-03-07,12.33,12.701,11.41,12.06,2103300
2025-03-06,13.35,14.0,12.02,12.36,2290200
2025-03-05,12.52,14.22,12.08,14.12,3126600
2025-03-04,11.58,13.05,11.22,12.51,2808600
2025-03-03,14.64,14.64,11.97,12.31,2171100
2025-02-28,12.93,14.51,12.5,13.97,2356400
2025-02-27,15.13,15.5,14.03,14.03,1653800
2025-02-26,14.91,15.29,14.3,14.5,1612400
2025-02-25,15.49,15.64,13.52,14.34,3285600
2025-02-24,18.17,18.509,15.69,16.42,2409600
2025-02-21,20.35,20.617,17.82,17.91,2129100
2025-02-20,21.6,21.643,18.82,20.0,2693300
2025-02-19,23.96,25.645,21.44,21.72,1831600
2025-02-18,24.51,25.83,22.93,23.58,1988200
2025-02-14,25.56,26.27,23.5,23.62,1754500
2025-02-13,26.25,26.66,24.91,25.66,2155500
2025-02-12,21.84,26.08,21.72,24.99,2698600
2025-02-11,23.83,24.11,21.704,21.93,1400200
2025-02-10,21.32,24.26,21.19,23.65,2622300
2025-02-07,21.64,22.94,20.5,20.93,1502100
2025-02-06,23.56,23.98,21.63,21.74,1612400
2025-02-05,23.98,24.58,22.7,23.54,1545900
2025-02-04,23.12,23.98,22.2,23.89,1785200
2025-02-03,22.47,23.192,21.51,22.19,2733600
2025-01-31,23.37,26.66,23.18,23.92,3351900
2025-01-30,23.02,24.235,21.595,22.77,1731100
2025-01-29,22.2,22.949,21.06,22.22,1335300
2025-01-28,24.15,24.6,20.76,22.0,1772000
2025-01-27,21.0,24.52,20.6,21.81,3415500
2025-01-24,22.1,22.57,21.15,21.24,1603600
2025-01-23,21.68,23.35,20.74,22.05,2376400
2025-01-22,21.2,22.03,20.01,21.65,3838000
2025-01-21,15.96,22.5,15.93,22.33,10564900
2025-01-17,14.8,15.33,14.47,14.75,819300
2025-01-16,14.78,15.679,14.14,14.57,1324400
2025-01-15,14.37,14.71,13.96,14.47,675100
2025-01-14,14.46,14.601,12.93,13.78,1284300
2025-01-13,14.58,14.88,13.6,13.94,1286700
2025-01-10,16.08,16.41,15.1,15.51,960300
2025-01-08,16.23,16.72,15.17,16.21,1396000
2025-01-07,17.55,18.2,16.26,16.81,1264200
2025-01-06,18.23,18.54,17.43,17.46,1494500
2025-01-03,17.24,18.49,17.056,18.09,1215200
2025-01-02,16.92,17.75,16.083,17.04,1127100
2024-12-31,18.0,18.15,16.45,16.46,1455900
2024-12-30,17.0,18.28,16.15,17.65,2148300
2024-12-27,17.44,17.86,16.109,17.12,1885000
